,symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-L/100km,price,horsepower-binned,fuel-type-diesel,fuel-type-gas
99,0,108,nissan,std,four,wagon,fwd,front,100.4,184.6,66.5,0.9381270903010034,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,17,10.681818181818182,14399.0,Medium,False,True
100,0,108,nissan,std,four,sedan,fwd,front,100.4,184.6,66.5,0.9214046822742475,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,19,9.4,13499.0,Medium,False,True
101,3,194,nissan,std,two,hatchback,rwd,front,91.3,170.7,67.9,0.831103678929766,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200.0,19,9.4,17199.0,Medium,False,True
102,3,194,nissan,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,0.831103678929766,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200.0,17,10.217391304347826,19699.0,High,False,True
103,1,231,nissan,std,two,hatchback,rwd,front,99.2,178.5,67.9,0.831103678929766,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200.0,19,9.4,18399.0,Medium,False,True
104,0,161,peugot,std,four,sedan,rwd,front,107.9,186.7,68.4,0.948160535117057,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,19,9.791666666666666,11900.0,Low,False,True
105,0,161,peugot,turbo,four,sedan,rwd,front,107.9,186.7,68.4,0.948160535117057,3197,l,four,152,idi,3.7,3.52,21.0,95,4150.0,28,7.121212121212121,13200.0,Low,True,False
106,0,122,peugot,std,four,wagon,rwd,front,114.2,198.9,68.4,0.9816053511705687,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,19,9.791666666666666,12440.0,Low,False,True
107,0,122,peugot,turbo,four,wagon,rwd,front,114.2,198.9,68.4,0.9816053511705687,3430,l,four,152,idi,3.7,3.52,21.0,95,4150.0,25,9.4,13860.0,Low,True,False
108,0,161,peugot,std,four,sedan,rwd,front,107.9,186.7,68.4,0.948160535117057,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000.0,19,9.791666666666666,15580.0,Low,False,True
109,0,161,peugot,turbo,four,sedan,rwd,front,107.9,186.7,68.4,0.948160535117057,3252,l,four,152,idi,3.7,3.52,21.0,95,4150.0,28,7.121212121212121,16900.0,Low,True,False
110,0,122,peugot,std,four,wagon,rwd,front,114.2,198.9,68.4,0.948160535117057,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000.0,19,9.791666666666666,16695.0,Low,False,True
111,0,122,peugot,turbo,four,wagon,rwd,front,114.2,198.9,68.4,0.9816053511705687,3485,l,four,152,idi,3.7,3.52,21.0,95,4150.0,25,9.4,17075.0,Low,True,False
112,0,161,peugot,std,four,sedan,rwd,front,107.9,186.7,68.4,0.948160535117057,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,19,9.791666666666666,16630.0,Low,False,True
113,0,161,peugot,turbo,four,sedan,rwd,front,107.9,186.7,68.4,0.948160535117057,3252,l,four,152,idi,3.7,3.52,21.0,95,4150.0,28,7.121212121212121,17950.0,Low,True,False
114,0,161,peugot,turbo,four,sedan,rwd,front,108.0,186.7,68.3,0.9364548494983278,3130,l,four,134,mpfi,3.61,3.21,7.0,142,5600.0,18,9.791666666666666,18150.0,Medium,False,True
115,1,119,plymouth,std,two,hatchback,fwd,front,93.7,157.3,63.8,0.8494983277591973,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,37,5.7317073170731705,5572.0,Low,False,True
116,1,119,plymouth,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,0.8494983277591973,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500.0,24,7.833333333333333,7957.0,Low,False,True
117,1,154,plymouth,std,four,hatchback,fwd,front,93.7,157.3,63.8,0.8461538461538463,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,6.184210526315789,6229.0,Low,False,True
118,1,154,plymouth,std,four,sedan,fwd,front,93.7,167.3,63.8,0.8494983277591973,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,6.184210526315789,6692.0,Low,False,True
119,1,154,plymouth,std,four,sedan,fwd,front,93.7,167.3,63.8,0.8494983277591973,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500.0,31,6.184210526315789,7609.0,Low,False,True
120,-1,74,plymouth,std,four,wagon,fwd,front,103.3,174.6,64.6,1.0,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,24,7.833333333333333,8921.0,Low,False,True
121,3,122,plymouth,turbo,two,hatchback,rwd,front,95.9,173.2,66.3,0.8394648829431439,2818,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,19,9.791666666666666,12764.0,Medium,False,True
122,3,186,porsche,std,two,hatchback,rwd,front,94.5,168.9,68.3,0.8394648829431439,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500.0,19,8.703703703703704,22018.0,Medium,False,True
123,3,122,porsche,std,two,hardtop,rwd,rear,89.5,168.9,65.0,0.8628762541806021,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900.0,17,9.4,32528.0,High,False,True
124,3,122,porsche,std,two,hardtop,rwd,rear,89.5,168.9,65.0,0.8628762541806021,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900.0,17,9.4,34028.0,High,False,True
125,3,122,porsche,std,two,convertible,rwd,rear,89.5,168.9,65.0,0.8628762541806021,2800,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900.0,17,9.4,37028.0,High,False,True
126,0,122,renault,std,four,wagon,fwd,front,96.1,181.5,66.5,0.9230769230769231,2579,ohc,four,132,mpfi,3.46,3.9,8.7,104,5125.369458128079,23,7.580645161290323,9295.0,Low,False,True
127,2,122,renault,std,two,hatchback,fwd,front,96.1,176.8,66.6,0.8444816053511706,2460,ohc,four,132,mpfi,3.46,3.9,8.7,104,5125.369458128079,23,7.580645161290323,9895.0,Low,False,True
128,3,150,saab,std,two,hatchback,fwd,front,99.1,186.6,66.5,0.9381270903010034,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250.0,21,8.392857142857142,11850.0,Low,False,True
129,2,104,saab,std,four,sedan,fwd,front,99.1,186.6,66.5,0.9381270903010034,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250.0,21,8.392857142857142,12170.0,Low,False,True
130,3,150,saab,std,two,hatchback,fwd,front,99.1,186.6,66.5,0.9381270903010034,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250.0,21,8.392857142857142,15040.0,Low,False,True
131,2,104,saab,std,four,sedan,fwd,front,99.1,186.6,66.5,0.9381270903010034,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250.0,21,8.392857142857142,15510.0,Low,False,True
132,3,150,saab,turbo,two,hatchback,fwd,front,99.1,186.6,66.5,0.9381270903010034,2808,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500.0,19,9.038461538461538,18150.0,Medium,False,True
133,2,104,saab,turbo,four,sedan,fwd,front,99.1,186.6,66.5,0.9381270903010034,2847,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500.0,19,9.038461538461538,18620.0,Medium,False,True
134,2,83,subaru,std,two,hatchback,fwd,front,93.7,156.9,63.4,0.8979933110367894,2050,ohcf,four,97,2bbl,3.62,2.36,9.0,69,4900.0,31,6.527777777777778,5118.0,Low,False,True
135,2,83,subaru,std,two,hatchback,fwd,front,93.7,157.9,63.6,0.8979933110367894,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400.0,26,7.580645161290323,7053.0,Low,False,True
136,2,83,subaru,std,two,hatchback,4wd,front,93.3,157.3,63.8,0.931438127090301,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400.0,26,7.580645161290323,7603.0,Low,False,True
137,0,102,subaru,std,four,sedan,fwd,front,97.2,172.0,65.4,0.8779264214046824,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4800.0,32,6.351351351351352,7126.0,Low,False,True
138,0,102,subaru,std,four,sedan,fwd,front,97.2,172.0,65.4,0.8779264214046824,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400.0,28,7.121212121212121,7775.0,Low,False,True
139,0,102,subaru,std,four,sedan,fwd,front,97.2,172.0,65.4,0.8779264214046824,2340,ohcf,four,108,mpfi,3.62,2.64,9.0,94,5200.0,26,7.34375,9960.0,Low,False,True
140,0,102,subaru,std,four,sedan,4wd,front,97.0,172.0,65.4,0.9080267558528428,2385,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800.0,24,9.4,9233.0,Low,False,True
141,0,102,subaru,turbo,four,sedan,4wd,front,97.0,172.0,65.4,0.9080267558528428,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800.0,24,8.10344827586207,11259.0,Low,False,True
142,0,89,subaru,std,four,wagon,fwd,front,97.0,173.5,65.4,0.8862876254180603,2290,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800.0,28,7.34375,7463.0,Low,False,True
143,0,89,subaru,std,four,wagon,fwd,front,97.0,173.5,65.4,0.8862876254180603,2455,ohcf,four,108,mpfi,3.62,2.64,9.0,94,5200.0,25,7.580645161290323,10198.0,Low,False,True
144,0,85,subaru,std,four,wagon,4wd,front,96.9,173.6,65.4,0.9180602006688964,2420,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800.0,23,8.10344827586207,8013.0,Low,False,True
145,0,85,subaru,turbo,four,wagon,4wd,front,96.9,173.6,65.4,0.9180602006688964,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800.0,23,10.217391304347826,11694.0,Low,False,True
146,1,87,toyota,std,two,hatchback,fwd,front,95.7,158.7,63.6,0.911371237458194,1985,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,35,6.0256410256410255,5348.0,Low,False,True
147,1,87,toyota,std,two,hatchback,fwd,front,95.7,158.7,63.6,0.911371237458194,2040,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,31,6.184210526315789,6338.0,Low,False,True
148,1,74,toyota,std,four,hatchback,fwd,front,95.7,158.7,63.6,0.911371237458194,2015,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,31,6.184210526315789,6488.0,Low,False,True
149,0,77,toyota,std,four,wagon,fwd,front,95.7,169.7,63.6,0.988294314381271,2280,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,31,6.351351351351352,6918.0,Low,False,True
150,0,81,toyota,std,four,wagon,4wd,front,95.7,169.7,63.6,0.988294314381271,2290,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,27,7.34375,7898.0,Low,False,True
151,0,91,toyota,std,four,wagon,4wd,front,95.7,169.7,63.6,0.988294314381271,3110,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,27,7.34375,8778.0,Low,False,True
152,0,91,toyota,std,four,sedan,fwd,front,95.7,166.3,64.4,0.8862876254180603,2081,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,30,6.351351351351352,6938.0,Low,False,True
153,0,91,toyota,std,four,hatchback,fwd,front,95.7,166.3,64.4,0.882943143812709,2109,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,30,6.351351351351352,7198.0,Low,False,True
154,0,91,toyota,std,four,sedan,fwd,front,95.7,166.3,64.4,0.8862876254180603,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500.0,34,6.527777777777778,7898.0,Low,True,False
155,0,91,toyota,std,four,hatchback,fwd,front,95.7,166.3,64.4,0.882943143812709,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500.0,38,5.0,7788.0,Low,True,False
156,0,91,toyota,std,four,sedan,fwd,front,95.7,166.3,64.4,0.8862876254180603,2094,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,38,5.0,7738.0,Low,False,True
157,0,91,toyota,std,four,hatchback,fwd,front,95.7,166.3,64.4,0.882943143812709,2122,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,28,6.911764705882353,8358.0,Low,False,True
158,0,91,toyota,std,four,sedan,fwd,front,95.7,166.3,64.4,0.882943143812709,2140,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,28,6.911764705882353,9258.0,Low,False,True
159,1,168,toyota,std,two,sedan,rwd,front,94.5,168.7,64.0,0.8795986622073579,2169,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,29,6.911764705882353,8058.0,Low,False,True
160,1,168,toyota,std,two,hatchback,rwd,front,94.5,168.7,64.0,0.8795986622073579,2204,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,29,6.911764705882353,8238.0,Low,False,True
161,1,168,toyota,std,two,sedan,rwd,front,94.5,168.7,64.0,0.8795986622073579,2265,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600.0,26,8.10344827586207,9298.0,Low,False,True
162,1,168,toyota,std,two,hatchback,rwd,front,94.5,168.7,64.0,0.8795986622073579,2300,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600.0,26,8.10344827586207,9538.0,Low,False,True
163,2,134,toyota,std,two,hardtop,rwd,front,98.4,176.2,65.6,0.8695652173913044,2540,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,24,7.833333333333333,8449.0,Low,False,True
164,2,134,toyota,std,two,hardtop,rwd,front,98.4,176.2,65.6,0.8695652173913044,2536,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,24,7.833333333333333,9639.0,Low,False,True
165,2,134,toyota,std,two,hatchback,rwd,front,98.4,176.2,65.6,0.8695652173913044,2551,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,24,7.833333333333333,9989.0,Low,False,True
166,2,134,toyota,std,two,hardtop,rwd,front,98.4,176.2,65.6,0.8695652173913044,2679,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,24,7.833333333333333,11199.0,Low,False,True
167,2,134,toyota,std,two,hatchback,rwd,front,98.4,176.2,65.6,0.8695652173913044,2714,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,24,7.833333333333333,11549.0,Low,False,True
168,2,134,toyota,std,two,convertible,rwd,front,98.4,176.2,65.6,0.8862876254180603,2975,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,24,7.833333333333333,17669.0,Low,False,True
169,-1,65,toyota,std,four,sedan,fwd,front,102.4,175.6,66.5,0.9180602006688964,2326,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200.0,29,6.911764705882353,8948.0,Low,False,True
170,-1,65,toyota,turbo,four,sedan,fwd,front,102.4,175.6,66.5,0.9180602006688964,2480,ohc,four,110,idi,3.27,3.35,22.5,73,4500.0,30,7.121212121212121,10698.0,Low,True,False
171,-1,65,toyota,std,four,hatchback,fwd,front,102.4,175.6,66.5,0.9013377926421405,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200.0,27,7.34375,9988.0,Low,False,True
172,-1,65,toyota,std,four,sedan,fwd,front,102.4,175.6,66.5,0.9180602006688964,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200.0,27,7.34375,10898.0,Low,False,True
173,-1,65,toyota,std,four,hatchback,fwd,front,102.4,175.6,66.5,0.9013377926421405,2458,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200.0,27,7.34375,11248.0,Low,False,True
174,3,197,toyota,std,two,hatchback,rwd,front,102.9,183.5,67.7,0.8695652173913044,2976,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200.0,20,9.791666666666666,16558.0,Medium,False,True
175,3,197,toyota,std,two,hatchback,rwd,front,102.9,183.5,67.7,0.8695652173913044,3016,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200.0,19,9.791666666666666,15998.0,Medium,False,True
176,-1,90,toyota,std,four,sedan,rwd,front,104.5,187.8,66.5,0.9046822742474917,3131,dohc,six,171,mpfi,3.27,3.35,9.2,156,5200.0,20,9.791666666666666,15690.0,Medium,False,True
177,-1,122,toyota,std,four,wagon,rwd,front,104.5,187.8,66.5,0.9046822742474917,3151,dohc,six,161,mpfi,3.27,3.35,9.2,156,5200.0,19,9.791666666666666,15750.0,Medium,False,True
178,2,122,volkswagen,std,two,sedan,fwd,front,97.3,171.7,65.5,0.931438127090301,2261,ohc,four,97,idi,3.01,3.4,23.0,52,4800.0,37,5.108695652173913,7775.0,Low,True,False
179,2,122,volkswagen,std,two,sedan,fwd,front,97.3,171.7,65.5,0.931438127090301,2209,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250.0,27,6.911764705882353,7975.0,Low,False,True
180,2,94,volkswagen,std,four,sedan,fwd,front,97.3,171.7,65.5,0.931438127090301,2264,ohc,four,97,idi,3.01,3.4,23.0,52,4800.0,37,5.108695652173913,7995.0,Low,True,False
181,2,94,volkswagen,std,four,sedan,fwd,front,97.3,171.7,65.5,0.931438127090301,2212,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250.0,27,6.911764705882353,8195.0,Low,False,True
182,2,94,volkswagen,std,four,sedan,fwd,front,97.3,171.7,65.5,0.931438127090301,2275,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250.0,27,6.911764705882353,8495.0,Low,False,True
183,2,94,volkswagen,turbo,four,sedan,fwd,front,97.3,171.7,65.5,0.931438127090301,2319,ohc,four,97,idi,3.01,3.4,23.0,68,4500.0,37,5.595238095238095,9495.0,Low,True,False
184,2,94,volkswagen,std,four,sedan,fwd,front,97.3,171.7,65.5,0.931438127090301,2300,ohc,four,109,mpfi,3.19,3.4,10.0,100,5500.0,26,7.34375,9995.0,Low,False,True
185,3,122,volkswagen,std,two,convertible,fwd,front,94.5,159.3,64.2,0.9297658862876255,2254,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500.0,24,8.10344827586207,11595.0,Low,False,True
186,3,256,volkswagen,std,two,hatchback,fwd,front,94.5,165.7,64.0,0.8595317725752508,2221,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500.0,24,8.10344827586207,9980.0,Low,False,True
187,0,122,volkswagen,std,four,sedan,fwd,front,100.4,180.2,66.9,0.9214046822742475,2661,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,19,9.791666666666666,13295.0,Low,False,True
188,0,122,volkswagen,turbo,four,sedan,fwd,front,100.4,180.2,66.9,0.9214046822742475,2579,ohc,four,97,idi,3.01,3.4,23.0,68,4500.0,33,6.184210526315789,13845.0,Low,True,False
189,0,122,volkswagen,std,four,wagon,fwd,front,100.4,183.1,66.9,0.9214046822742475,2563,ohc,four,109,mpfi,3.19,3.4,9.0,88,5500.0,25,7.580645161290323,12290.0,Low,False,True
190,-2,103,volvo,std,four,sedan,rwd,front,104.3,188.8,67.2,0.939799331103679,2912,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,23,8.392857142857142,12940.0,Low,False,True
191,-1,74,volvo,std,four,wagon,rwd,front,104.3,188.8,67.2,0.9615384615384616,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,23,8.392857142857142,13415.0,Low,False,True
192,-2,103,volvo,std,four,sedan,rwd,front,104.3,188.8,67.2,0.939799331103679,2935,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,24,8.392857142857142,15985.0,Low,False,True
193,-1,74,volvo,std,four,wagon,rwd,front,104.3,188.8,67.2,0.9615384615384616,3042,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,24,8.392857142857142,16515.0,Low,False,True
194,-2,103,volvo,turbo,four,sedan,rwd,front,104.3,188.8,67.2,0.939799331103679,3045,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100.0,17,10.681818181818182,18420.0,Medium,False,True
195,-1,74,volvo,turbo,four,wagon,rwd,front,104.3,188.8,67.2,0.9615384615384616,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100.0,17,10.681818181818182,18950.0,Medium,False,True
196,-1,95,volvo,std,four,sedan,rwd,front,109.1,188.8,68.9,0.9280936454849499,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,23,8.392857142857142,16845.0,Low,False,True
197,-1,95,volvo,turbo,four,sedan,rwd,front,109.1,188.8,68.8,0.9280936454849499,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160,5300.0,19,9.4,19045.0,Medium,False,True
198,-1,95,volvo,std,four,sedan,rwd,front,109.1,188.8,68.9,0.9280936454849499,3012,ohcv,six,173,mpfi,3.58,2.87,8.8,134,5500.0,18,10.217391304347826,21485.0,Medium,False,True
199,-1,95,volvo,turbo,four,sedan,rwd,front,109.1,188.8,68.9,0.9280936454849499,3217,ohc,six,145,idi,3.01,3.4,23.0,106,4800.0,26,8.703703703703704,22470.0,Low,True,False
200,-1,95,volvo,turbo,four,sedan,rwd,front,109.1,188.8,68.9,0.9280936454849499,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,19,9.4,22625.0,Low,False,True
